campaign_id,user_id,experience_type,status,credits_used,created_date,published_date
C00001,U0002,Unknown,draft,0,17-09-2025,
C00002,U0002,Unknown,published,4,07-09-2025,12-09-2025
C00003,U0003,Alpha,published,5,02-10-2025,04-10-2025
C00004,U0004,Spatial Interactive,published,1,31-08-2025,17-09-2025
C00005,U0004,Prism Interactive,published,1,26-08-2025,28-08-2025
C00006,U0005,Unknown,draft,0,22-09-2025,
C00007,U0006,Alpha,draft,0,18-09-2025,
C00008,U0006,3D Experience,draft,0,27-08-2025,
C00009,U0007,Prism,published,1,02-10-2025,04-10-2025
C00010,U0008,3D Spatial,draft,0,03-09-2025,
C00011,U0008,Prism Interactive,deleted,0,22-09-2025,
C00012,U0010,3D Spatial,draft,0,08-09-2025,
C00013,U0010,3D Spatial,published,1,21-09-2025,06-10-2025
C00014,U0011,Prism,published,3,21-08-2025,27-08-2025
C00015,U0011,3D Experience,draft,0,30-08-2025,
C00016,U0012,Spatial Alpha,draft,0,17-08-2025,
C00017,U0013,Spatial Alpha,published,5,25-09-2025,05-10-2025
C00018,U0014,Spatial Alpha,draft,0,09-09-2025,
C00019,U0014,Prism Interactive,draft,0,19-09-2025,
C00020,U0015,Prism Extended,published,5,04-10-2025,04-10-2025
C00021,U0016,Unknown,published,1,03-10-2025,06-10-2025
C00022,U0017,3D Spatial,published,2,22-08-2025,24-08-2025
C00023,U0018,3D Experience,draft,0,28-09-2025,
C00024,U0018,Prism Extended,published,2,12-09-2025,18-09-2025
C00025,U0018,Spatial Alpha,draft,0,03-10-2025,
C00026,U0018,Prism Extended,deleted,0,08-09-2025,
C00027,U0019,Alpha,draft,0,02-09-2025,
C00028,U0020,Alpha,published,2,22-09-2025,25-09-2025
C00029,U0020,Prism Interactive,draft,0,04-10-2025,
C00030,U0021,Prism Interactive,draft,0,05-08-2025,
C00031,U0021,Prism,published,5,12-08-2025,14-08-2025
C00032,U0021,Spatial Interactive,published,3,10-08-2025,05-09-2025
C00033,U0022,Prism,draft,0,20-09-2025,
C00034,U0023,3D Experience,draft,0,30-09-2025,
C00035,U0024,3D Spatial,draft,0,05-10-2025,
C00036,U0024,Spatial Interactive,published,5,20-09-2025,26-09-2025
C00037,U0024,Prism Extended,published,5,25-09-2025,25-09-2025
C00038,U0024,Prism,deleted,0,08-09-2025,
C00039,U0026,Alpha Interactive,published,4,26-08-2025,21-09-2025
C00040,U0026,Alpha,draft,0,22-09-2025,
C00041,U0026,Spatial TV,draft,0,29-08-2025,
C00042,U0026,Alpha Interactive,draft,0,18-08-2025,
C00043,U0027,Prism Extended,draft,0,18-09-2025,
C00044,U0028,Prism Interactive,published,4,30-09-2025,06-10-2025
C00045,U0028,Alpha,draft,0,05-10-2025,
C00046,U0029,Prism Extended,published,4,27-09-2025,04-10-2025
C00047,U0029,3D Spatial,published,4,13-09-2025,06-10-2025
C00048,U0030,Prism Interactive,published,4,09-09-2025,13-09-2025
C00049,U0030,Prism Extended,published,2,28-09-2025,30-09-2025
C00050,U0031,3D Spatial,published,2,09-09-2025,25-09-2025
C00051,U0031,Prism Extended,draft,0,04-08-2025,
C00052,U0032,Prism Extended,published,4,26-08-2025,27-08-2025
C00053,U0032,Alpha Interactive,published,4,27-09-2025,02-10-2025
C00054,U0033,Alpha,draft,0,30-09-2025,
C00055,U0034,Spatial Interactive,draft,0,18-09-2025,
C00056,U0034,Unknown,published,2,17-09-2025,05-10-2025
C00057,U0034,Prism Interactive,draft,0,01-10-2025,
C00058,U0034,3D Experience,draft,0,04-10-2025,
C00059,U0034,Alpha Interactive,published,4,27-09-2025,01-10-2025
C00060,U0034,Spatial TV,draft,0,01-10-2025,
C00061,U0035,Prism Interactive,published,3,27-08-2025,01-09-2025
C00062,U0035,Spatial Interactive,draft,0,22-08-2025,
C00063,U0035,Alpha,deleted,0,08-09-2025,
C00064,U0035,3D Experience,published,4,06-09-2025,10-09-2025
C00065,U0038,3D Experience,published,5,07-09-2025,10-09-2025
C00066,U0039,3D Experience,published,2,02-10-2025,06-10-2025
C00067,U0040,Spatial Alpha,published,0,05-10-2025,06-10-2025
C00068,U0041,3D Spatial,draft,0,13-09-2025,
C00069,U0041,Prism Interactive,published,1,04-09-2025,04-09-2025
C00070,U0042,Alpha Interactive,published,3,27-08-2025,03-09-2025
C00071,U0042,Spatial TV,published,2,20-09-2025,25-09-2025
C00072,U0043,Prism Interactive,deleted,0,01-09-2025,
C00073,U0044,Prism Interactive,published,0,05-10-2025,05-10-2025
C00074,U0044,Alpha Interactive,draft,0,01-10-2025,
C00075,U0044,Alpha Interactive,draft,0,28-09-2025,
C00076,U0045,Prism Extended,published,2,04-09-2025,04-09-2025
C00077,U0045,Prism Interactive,published,3,21-08-2025,27-08-2025
C00078,U0046,Prism Extended,draft,0,22-08-2025,
C00079,U0046,Alpha Interactive,published,4,05-08-2025,28-08-2025
C00080,U0047,3D Experience,published,3,28-08-2025,29-08-2025
C00081,U0047,Alpha,published,4,22-09-2025,05-10-2025
C00082,U0047,Spatial TV,published,2,05-09-2025,21-09-2025
C00083,U0048,Prism Interactive,deleted,0,05-10-2025,
C00084,U0048,3D Experience,draft,0,24-09-2025,
C00085,U0048,Spatial TV,draft,0,10-09-2025,
C00086,U0048,3D Experience,deleted,0,03-10-2025,
C00087,U0049,Prism Extended,draft,0,30-09-2025,
C00088,U0050,Spatial TV,deleted,0,17-09-2025,
C00089,U0050,Prism Extended,published,5,02-10-2025,04-10-2025
C00090,U0050,Spatial Interactive,published,4,11-09-2025,15-09-2025
C00091,U0051,Prism Interactive,draft,0,14-09-2025,
C00092,U0052,Prism,published,1,27-09-2025,30-09-2025
C00093,U0052,Prism Interactive,draft,0,05-10-2025,
C00094,U0053,Prism Extended,deleted,0,20-09-2025,
C00095,U0055,Alpha,published,5,29-09-2025,02-10-2025
