user_id,week_start_date,sessions,avg_session_time,engagement_score,last_active_date
U0001,08-09-2025,6,11.62,69.72,12-09-2025
U0001,15-09-2025,5,4.88,24.4,21-09-2025
U0001,22-09-2025,3,6.63,19.89,24-09-2025
U0001,29-09-2025,3,8.51,25.53,04-10-2025
U0001,06-10-2025,2,8.39,16.78,09-10-2025
U0002,18-08-2025,0,6.81,0,
U0002,25-08-2025,3,2.53,7.59,31-08-2025
U0002,01-09-2025,0,10.2,0,04-09-2025
U0002,08-09-2025,5,,,11-09-2025
U0002,15-09-2025,2,12.03,24.06,16-09-2025
U0002,22-09-2025,0,11.77,0,28-09-2025
U0002,29-09-2025,5,9.32,46.6,30-09-2025
U0002,06-10-2025,3,6.45,19.35,11-10-2025
U0003,15-09-2025,0,9.49,0,17-09-2025
U0003,22-09-2025,5,11.18,55.9,22-09-2025
U0003,29-09-2025,,4.96,,
U0003,06-10-2025,7,5.48,38.36,06-10-2025
U0004,11-08-2025,0,5.28,0,12-08-2025
U0004,18-08-2025,3,7.88,23.64,20-08-2025
U0004,25-08-2025,3,14.29,42.87,26-08-2025
U0004,01-09-2025,0,4.95,0,
U0004,08-09-2025,4,,,10-09-2025
U0004,15-09-2025,4,,,20-09-2025
U0004,22-09-2025,7,11.31,79.17,25-09-2025
U0004,29-09-2025,4,7.67,30.68,30-09-2025
U0004,06-10-2025,7,12.25,85.75,06-10-2025
U0005,08-09-2025,5,13.66,68.3,10-09-2025
U0005,15-09-2025,0,5.36,0,
U0005,22-09-2025,0,6.2,0,
U0005,29-09-2025,9,3.26,29.34,05-10-2025
U0005,06-10-2025,1,8.41,8.41,09-10-2025
U0006,11-08-2025,0,7.84,0,
U0006,18-08-2025,10,2.57,25.7,21-08-2025
U0006,25-08-2025,6,2.41,14.46,29-08-2025
U0006,01-09-2025,3,10.72,32.16,05-09-2025
U0006,08-09-2025,4,1.78,7.12,13-09-2025
U0006,15-09-2025,4,9.68,38.72,20-09-2025
U0006,22-09-2025,,9.65,,
U0006,29-09-2025,2,5.78,11.56,01-10-2025
U0006,06-10-2025,4,6.97,27.88,07-10-2025
U0007,25-08-2025,5,11.87,59.35,28-08-2025
U0007,01-09-2025,6,7.35,44.1,05-09-2025
U0007,08-09-2025,6,,,12-09-2025
U0007,15-09-2025,4,6.76,27.04,16-09-2025
U0007,22-09-2025,6,10.91,65.46,27-09-2025
U0007,29-09-2025,6,8.12,48.72,29-09-2025
U0007,06-10-2025,1,6.15,6.15,10-10-2025
U0008,21-07-2025,1,6.18,6.18,24-07-2025
U0008,28-07-2025,7,9.8,,30-07-2025
U0008,04-08-2025,0,9.91,0,
U0008,11-08-2025,11,10.8,118.8,14-08-2025
U0008,18-08-2025,4,4.61,18.44,22-08-2025
U0008,25-08-2025,8,8.46,67.68,
U0008,01-09-2025,1,3.09,3.09,02-09-2025
U0008,08-09-2025,1,7.18,7.18,08-09-2025
U0008,15-09-2025,0,8.52,0,19-09-2025
U0008,22-09-2025,6,12.41,74.46,26-09-2025
U0009,21-07-2025,2,1.86,3.72,22-07-2025
U0009,28-07-2025,5,,,01-08-2025
U0009,04-08-2025,0,13.47,0,06-08-2025
U0009,11-08-2025,6,7.05,42.3,17-08-2025
U0009,18-08-2025,6,5.68,34.08,22-08-2025
U0009,25-08-2025,,11.55,,
U0009,01-09-2025,1,8.74,8.74,03-09-2025
U0009,08-09-2025,5,5.04,25.2,12-09-2025
U0009,15-09-2025,6,6.78,40.68,19-09-2025
U0009,22-09-2025,7,0.2,1.4,28-09-2025
U0010,14-07-2025,6,9.04,54.24,20-07-2025
U0010,21-07-2025,4,8.76,35.04,27-07-2025
U0010,28-07-2025,3,8.07,24.21,02-08-2025
U0010,04-08-2025,6,8.23,49.38,04-08-2025
U0010,11-08-2025,7,5.76,40.32,12-08-2025
U0010,18-08-2025,4,11.49,45.96,23-08-2025
U0010,25-08-2025,0,,,
U0010,01-09-2025,10,10.19,101.9,03-09-2025
U0010,08-09-2025,4,,,11-09-2025
U0010,15-09-2025,3,3.16,9.48,
U0011,04-08-2025,7,8.3,58.1,05-08-2025
U0011,11-08-2025,,13.12,,
U0011,18-08-2025,0,6.44,0,
U0011,25-08-2025,3,4.35,13.05,29-08-2025
U0011,01-09-2025,3,8.97,26.91,02-09-2025
