user_id,signup_date,country,device,referral_code
U0001,12-09-2025,Germany,iOS,
U0002,23-08-2025,Germany,iOS,No
U0003,15-09-2025,USA,Android,No
U0004,12-08-2025,India,Android,No
U0005,14-09-2025,Germany,iOS,
U0006,13-08-2025,India,,Yes
U0007,25-08-2025,India,Web,No
U0008,24-07-2025,India,Android,No
U0009,21-07-2025,India,Android,Yes
U0010,18-07-2025,UK,iOS,No
U0011,06-08-2025,India,Android,No
U0012,30-07-2025,Germany,iOS,Yes
U0013,13-09-2025,India,Android,No
U0014,19-08-2025,UK,Android,
U0015,14-09-2025,USA,,Yes
U0016,08-09-2025,India,Android,No
U0017,11-08-2025,India,Android,No
U0018,07-09-2025,,Android,No
U0019,24-08-2025,India,iOS,Yes
U0020,23-07-2025,UAE,Android,Yes
U0021,03-08-2025,USA,Android,Yes
U0022,12-09-2025,USA,Android,No
U0023,12-09-2025,India,Web,Yes
U0024,08-09-2025,India,iOS,No
U0025,02-08-2025,India,Android,Yes
U0026,04-08-2025,India,iOS,No
U0027,22-07-2025,USA,iOS,No
U0028,13-09-2025,UAE,iOS,No
U0029,30-08-2025,USA,,Yes
U0030,08-09-2025,India,Android,No
U0031,22-07-2025,India,Android,No
U0032,26-08-2025,UK,Android,No
U0033,09-09-2025,India,Android,Yes
U0034,06-09-2025,India,Web,No
U0035,15-08-2025,USA,iOS,No
U0036,27-07-2025,Germany,iOS,Yes
U0037,23-07-2025,India,iOS,Yes
U0038,25-07-2025,India,Android,No
U0039,27-07-2025,Germany,Android,No
U0040,25-08-2025,India,Android,Yes
U0041,25-07-2025,UAE,Android,Yes
U0042,19-07-2025,India,Android,No
U0043,26-07-2025,India,iOS,Yes
U0044,08-09-2025,UK,Android,Yes
U0045,01-08-2025,USA,iOS,No
U0046,31-07-2025,UK,iOS,No
U0047,22-08-2025,UK,Android,No
U0048,08-08-2025,India,Android,Yes
U0049,14-09-2025,UAE,Android,No
U0050,18-08-2025,UAE,Web,Yes
U0051,31-07-2025,India,Web,Yes
U0052,22-07-2025,UAE,Android,
U0053,31-07-2025,India,Android,
U0054,13-08-2025,Brazil,Web,No
U0055,16-08-2025,India,Android,Yes
U0056,22-07-2025,India,iOS,Yes
U0057,28-08-2025,USA,Android,No
U0058,23-08-2025,India,Web,No
U0059,30-08-2025,USA,Web,
U0060,15-08-2025,India,Android,No
U0061,05-09-2025,Germany,iOS,No
U0062,28-08-2025,India,Web,No
U0063,02-08-2025,India,Web,No
U0064,16-08-2025,UAE,iOS,No
U0065,29-07-2025,India,iOS,
U0066,05-09-2025,UAE,Android,No
U0067,17-08-2025,UAE,Android,
U0068,16-08-2025,USA,iOS,No
U0069,15-07-2025,Germany,Android,No
U0070,27-07-2025,UAE,Android,No
U0071,10-08-2025,USA,Android,No
U0072,09-08-2025,USA,Android,No
U0073,13-09-2025,UAE,Android,No
U0074,12-08-2025,UK,iOS,No
U0075,24-08-2025,USA,Web,No
U0076,02-08-2025,Brazil,Web,No
U0077,11-09-2025,India,Web,Yes
U0078,27-08-2025,Germany,iOS,No
U0079,25-08-2025,India,Android,No
U0080,18-08-2025,UAE,Android,Yes
U0081,08-08-2025,UK,Android,No
U0082,07-08-2025,Brazil,Android,Yes
U0083,14-09-2025,UAE,Android,Yes
U0084,01-09-2025,Brazil,iOS,No
U0085,28-07-2025,USA,Android,Yes
U0086,31-07-2025,India,,Yes
U0087,09-08-2025,USA,Android,No
U0088,25-07-2025,India,iOS,No
U0089,22-08-2025,Germany,iOS,Yes
U0090,11-09-2025,India,Web,
U0091,06-09-2025,Germany,Web,No
U0092,05-09-2025,Brazil,,Yes
U0093,31-07-2025,USA,Web,No
U0094,27-08-2025,India,Android,No
U0095,29-08-2025,Germany,Android,Yes
U0096,26-08-2025,UAE,iOS,Yes
U0097,29-08-2025,India,iOS,Yes
U0098,28-08-2025,Germany,Android,Yes
U0099,20-08-2025,USA,Web,Yes
U0100,23-08-2025,India,,No
U0101,19-08-2025,India,iOS,Yes
U0102,28-08-2025,India,Android,Yes
U0103,28-08-2025,USA,Android,No
U0104,18-07-2025,USA,Android,Yes
U0105,05-08-2025,,Web,No
U0106,19-07-2025,UAE,Android,Yes
U0107,31-08-2025,India,Android,No
U0108,14-09-2025,Brazil,Android,No
U0109,01-09-2025,UAE,Android,Yes
U0110,21-08-2025,UK,iOS,Yes
U0111,09-08-2025,India,Android,No
U0112,01-08-2025,Brazil,Android,Yes
U0113,28-08-2025,India,Android,No
U0114,17-07-2025,USA,Android,No
U0115,21-08-2025,UAE,Android,
U0116,14-09-2025,Germany,Android,No
U0117,15-08-2025,India,Android,Yes
U0118,23-07-2025,UK,Android,Yes
U0119,28-07-2025,UAE,Android,No
U0120,09-08-2025,India,Android,No
U0121,10-08-2025,USA,Android,No
U0122,28-08-2025,India,Android,Yes
U0123,06-08-2025,India,Android,No
U0124,22-08-2025,Brazil,Android,No
U0125,19-07-2025,India,Android,No
U0126,15-09-2025,India,Android,No
U0127,22-07-2025,India,Android,No
U0128,11-08-2025,India,Android,Yes
U0129,15-08-2025,UK,Android,Yes
